,Districts,Address,Postcode,Lat,Lon,Names,Cities
64,Kensington Market,"399 Bathurst Street, Old Toronto, ON M5T 2S8, Canada",M5T 2S8,43.6535803,-79.4057215,N/A,Old Toronto
65,Kensington Market,"399 Bathurst Street, Old Toronto, ON M5T 2S8, Canada",M5T 2S8,43.6527603,-79.4053795,N/A,Old Toronto
66,N/A,"Aussie Walkabout, Toronto, ON M1B 6K4, Canada",M1B 6K4,43.8224608,-79.1850223,N/A,Toronto
67,Rosemont,"Toilettes Insectarium, Chemin de ceinture, Montreal, QC H1V 3N7, Canada",H1V 3N7,45.5610144,-73.5577213,Toilettes Insectarium,Montreal
68,Côte-des-Neiges,"Public Restroom, Promenade Jean-Brillant, Montreal, QC H3T 1N9, Canada",H3T 1N9,45.4972535,-73.6198543,Public Restroom,Montreal
69,TOD quartier Berri UQAM,"Rue Berri, Montreal, QC H2L 4S6, Canada",H2L 4S6,45.5150605,-73.5602205,N/A,Montreal
70,N/A,"Rue Willibrord, Montreal, QC H4G 2T9, Canada",H4G 2T9,45.4591794,-73.5732725,N/A,Montreal
71,Rosemont,"Chemin de ceinture, Montreal, QC H1X 1T8, Canada",H1X 1T8,45.5585931,-73.55875019749439,N/A,Montreal
72,N/A,"Avenue Outremont, Montreal, QC H2V 1V9, Canada",H2V 1V9,45.51769175,-73.60546150446112,N/A,Montreal
73,Vieux-Montréal,"Promenade du vieux port, Montreal, QC H2Y 4B2, Canada",H2Y 4B2,45.50283135,-73.55322068973507,N/A,Montreal
74,N/A,"Avenue du Port, Montreal, QC H3C 6A3, Canada",H3C 6A3,45.5120578,-73.5364665,N/A,Montreal
75,Vieux-Montréal,"Multipurpose path, Montreal, QC H3C 0M6, Canada",H3C 0M6,45.4984508,-73.552546,N/A,Montreal
76,Gay Village,"Rue Cartier, Montreal, QC H2K 4C7, Canada",H2K 4C7,45.52349045,-73.55192840000001,N/A,Montreal
